Название книги,Автор книги,Издательство,Цена,Скидка на книгу
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс,856 ₽,Нет скидки
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер,1 115 ₽,Нет скидки
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс,760 ₽,Нет скидки
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний,681 ₽,Нет скидки
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер,2 255 ₽,Нет скидки
Глубокое обучение на Python,Шолле Франсуа,Питер,2 823 ₽,Нет скидки
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,"Сонькин, Шамин, Сонькин",Инфра-Инженерия,724 ₽,Нет скидки
Основы визуального программирования в среде Visual Studio на базе C#,"Мартыненко, Турупалов, Андриевская",Инфра-Инженерия,908 ₽,Нет скидки
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер,1 701 ₽,Нет скидки
Python. Исчерпывающее руководство,Бизли Дэвид,Питер,2 240 ₽,Нет скидки
Практикум по анализу данных на языках Python и R. Учебное пособие,"Баюк, Исаева, Самсонкин",Прометей,499 ₽,Нет скидки
Знакомство с Python,"Бейдер, Эймос, Яблонски",Питер,2 142 ₽,Нет скидки
JavaScript для начинающих,МакГрат Майк,Бомбора,965 ₽,Нет скидки
Теория и практика программирования на языке Pascal,"Расолько, Кремень",Вышэйшая школа,9 796 ₽,Нет скидки
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow","Коул, Ганджу, Казам",Питер,3 787 ₽,Нет скидки
Грокаем стриминг,"Фишер, Ван",Питер,1 702 ₽,Нет скидки
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик, Йен",Бомбора,1 499 ₽,Нет скидки
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,"Шитов, Успенский",Кнорус,1 402 ₽,Нет скидки
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань,2 186 ₽,Нет скидки
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань,2 186 ₽,Нет скидки
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,2 961 ₽,Нет скидки
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,1 970 ₽,Нет скидки
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер,1 617 ₽,Нет скидки
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер,2 823 ₽,Нет скидки
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер,1 844 ₽,Нет скидки
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн, Паттен, Стил",Питер,2 511 ₽,Нет скидки
